time,seconds_elapsed,roll,rotationRateZ,quaternionY,rotationRateY,quaternionZ,quaternionW,yaw,devicelocation,accelerationZ,pitch,gravityX,gravityZ,quaternionX,rotationRateX,accelerationX,gravityY,accelerationY
1778182371535029200,17.508029296875,-0.3074710846100975,-0.027523517608642578,-0.09107147644205292,0.0002660825848579407,-0.2882107636591169,0.9315110692527174,-0.6517735186582033,left,-0.002139270305633545,-0.3303820931959844,-2.8074633123397827,-8.841251308906077,-0.20230572295963004,0.06100304052233696,-0.000879436731338501,3.181321759417653,-0.00037786364555358887
1778182371555029200,17.528029296875,-0.3075718315522204,-0.035768669098615646,-0.09132421806904012,-0.004386465530842543,-0.28843242014324116,0.931546800421142,-0.6519877068584098,left,-0.00013047456741333008,-0.3290279749785506,-2.809655561687052,-8.845065898758172,-0.2017102248260634,0.06834100186824799,-0.0004831850528717041,3.16875746139884,-0.0005511343479156494
1778182371575029200,17.548029296875,-0.3079463222860966,-0.04010742902755737,-0.09174238702283942,-0.009051032364368439,-0.28875850316439194,0.9315574982318253,-0.6524119318041441,left,-0.0006177425384521484,-0.32732307188495596,-2.8146012013956905,-8.849148784157633,-0.20100325125037546,0.07575292140245438,-0.0014903545379638672,3.152930362191796,0.0009945034980773926
1778182371595029000,17.568029052734374,-0.30831984545300384,-0.0444461852312088,-0.09216049112011149,-0.013715598732233047,-0.2890842787540185,0.9315675366184224,-0.6528350997327662,left,-0.0011075735092163086,-0.3256181033858272,-2.8195336893618106,-8.853205950593948,-0.2002961430530402,0.08316484093666077,-0.0024988651275634766,3.1370936183735725,0.002541065216064453
1778182371615029000,17.588029052734374,-0.3087751783440101,-0.046838074922561646,-0.09266531582013092,-0.025295894593000412,-0.2893718885284029,0.9316002710872795,-0.6531473130746132,left,-0.004296422004699707,-0.32369146841398827,-2.825395859393477,-8.857663514524697,-0.1994943369756471,0.09404455870389938,-0.0020483732223510742,3.119186790283024,0.005879700183868408
1778182371635029000,17.608029052734373,-0.30940068468875376,-0.044105060398578644,-0.0932827067914101,-0.024565674364566803,-0.2896682695706078,0.9316323589602479,-0.6534716708343162,left,-0.008480608463287354,-0.3215609015454579,-2.8329528506442903,-8.862204080563783,-0.19862444492900536,0.10087292641401291,-0.002817094326019287,3.099370913700759,0.009224563837051392
1778182371655029000,17.628029052734377,-0.3098888182513878,-0.038712188601493835,-0.09385492241551098,-0.021696876734495163,-0.2899059987340453,0.9316934127195216,-0.6536368654217143,left,-0.006195187568664551,-0.3194134291103208,-2.839301635149121,-8.867138614356517,-0.19771950605036354,0.10741222649812698,-0.003720521926879883,3.079383772204816,0.009857118129730225
1778182371675029200,17.648029296875,-0.31036422027542004,-0.030058681964874268,-0.09443600865756856,-0.02004828304052353,-0.2900840944229277,0.9317735727429407,-0.653669074318931,left,-0.005336165428161621,-0.31725629497799707,-2.8455390682339665,-8.872092437371611,-0.19680195742748488,0.10980480909347534,-0.002642214298248291,3.059292293551564,0.009588748216629028
1778182371695029200,17.668029296875,-0.31056007095982135,-0.023181723430752754,-0.09490123267568597,-0.015662673860788345,-0.2901536624365819,0.9319020722834367,-0.6534250155155514,left,-0.003276646137237549,-0.3151742922701984,-2.849216879963875,-8.877580513393879,-0.19586503469569108,0.10886389017105103,-0.002684473991394043,3.039887335857749,0.00592455267906189
1778182371715029200,17.688029296875,-0.31075632739105963,-0.01630476489663124,-0.09536635256670811,-0.011277062818408012,-0.2902229470621319,0.9320295132833119,-0.6531807680465,left,-0.001221299171447754,-0.3130922908927957,-2.8528882619529963,-8.883027672883868,-0.19492787956673555,0.1079229786992073,-0.0027273595333099365,3.020468934160471,0.0022616684436798096
1778182371735029200,17.708029296875,-0.3108569790953803,-0.0156828835606575,-0.09578337906971322,-0.012580061331391335,-0.2902459267852794,0.9321715760248923,-0.6528339299834026,left,0.001059889793395996,-0.31108876610080044,-2.855627623789012,-8.888484184724092,-0.19400762933362534,0.1055188924074173,-0.0021085143089294434,3.001770078909397,-0.0005409419536590576
1778182371755029200,17.728029296875,-0.31108354732473914,-0.019682640209794044,-0.09622857005411295,-0.017582308501005173,-0.2902855072092971,0.9322876407418581,-0.652575992054443,left,0.001941382884979248,-0.309213688419562,-2.8593592115327713,-8.893179649063944,-0.1931685104959696,0.09635429084300995,-0.0035275816917419434,2.9842592643991113,-0.0012974143028259277
1778182371775029200,17.748029296875,-0.3113710306531611,-0.015759602189064026,-0.09665616255074283,-0.013527603819966316,-0.2903406307564529,0.9323762016904787,-0.6524098418042138,left,0.000548243522644043,-0.307558628883998,-2.8634248535364866,-8.897046845886111,-0.19244332476316547,0.08100965619087219,-0.00450819730758667,2.968794276502728,-0.0018313825130462646
1778182371795029200,17.768029296875,-0.3116083237836196,-0.014558251947164536,-0.09701595496350231,-0.010685307905077934,-0.2903642016614199,0.9324565863403124,-0.6522229316998482,left,-0.0036324262619018555,-0.30617937738720014,-2.866788777011633,-8.90025587106049,-0.19183618706506045,0.06518374383449554,-0.0037609338760375977,2.955900308138132,-0.005538642406463623
1778182371815029200,17.788029296875,-0.31166786336015323,-0.011108639650046825,-0.09725617051780178,-0.002082439139485359,-0.29042022475560303,0.9325266686753106,-0.6521061281782018,left,-0.0016775727272033691,-0.3049782828248993,-2.868405272297561,-8.903458466494083,-0.19128824411276835,0.05696042627096176,-0.004359036684036255,2.9446672587230798,-0.00732383131980896
1778182371835029200,17.808029296875,-0.31164760141048004,-0.011612722650170326,-0.09743335516325737,0.004819149617105722,-0.2904667617009255,0.932593749455852,-0.6519851608961679,left,-0.006654202938079834,-0.30393315348777855,-2.8691669043198225,-8.906440697175263,-0.19079995911199862,0.04730881750583649,-0.002808094024658203,2.9348896688133475,-0.007801234722137451
1778182371855029000,17.828029052734376,-0.31140544769778633,-0.009424397721886635,-0.09745907262972522,0.019184861332178116,-0.2905335596672176,0.9326520900785876,-0.6519157102983374,left,-0.009454667568206787,-0.30314484758485694,-2.8677181668162346,-8.909335249572992,-0.19039971837710884,0.02992398478090763,-0.0026689767837524414,2.927512418043613,-0.009470760822296143
1778182371875029000,17.848029052734375,-0.31104020001150673,-0.01651824451982975,-0.09738680969790767,0.018443280830979347,-0.2906631779515882,0.9326880715596724,-0.6519894032931363,left,-0.005785048007965088,-0.30251733473136827,-2.865025566731393,-8.912129264205694,-0.19006230459020626,0.022253016009926796,-0.004880160093307495,2.921638557574153,-0.009694844484329224
1778182371895029000,17.868029052734375,-0.31094781541416594,-0.02170107513666153,-0.09742223155934009,0.01272084005177021,-0.29085858605854303,0.9326816576081939,-0.6522609523341778,left,-0.003720402717590332,-0.30189456725947095,-2.8647581479668616,-8.914124237415194,-0.18977633290052284,0.023789415135979652,-0.00391155481338501,2.915807951724529,-0.006966233253479004
1778182371915029200,17.888029296875,-0.3109591004784702,-0.02411205694079399,-0.09751758398602735,0.00142761692404747,-0.2910888214992467,0.9326645236325158,-0.652605651770781,left,-0.0003929734230041504,-0.30116169320211483,-2.865511888943612,-8.916123886799811,-0.18945846183229345,0.027375105768442154,-0.001857846975326538,2.9089453724786636,-0.004147887229919434
1778182371935029200,17.908029296875,-0.3110471582143137,-0.02398928813636303,-0.09767308785061196,-0.0007320751901715994,-0.2912841712605635,0.9326595214950281,-0.6528705771372821,left,-0.0026830434799194336,-0.300329124577404,-2.8670371988147494,-8.918173805066942,-0.18910216222353834,0.03308038413524628,-0.00021576881408691406,2.90114697368741,-0.0016251802444458008
1778182371955029200,17.928029296875,-0.3110707996961856,-0.02083156630396843,-0.09781708297723771,0.00788471382111311,-0.29148722220146706,0.9326645434389896,-0.6531183221974702,left,-0.002716362476348877,-0.2993961786969724,-2.868075309690833,-8.920679065886139,-0.18868957889366664,0.03697715327143669,0.0002676844596862793,2.892406325609982,-0.000490725040435791
1778182371975029200,17.948029296875,-0.3110031879114906,-0.020880063995718956,-0.09793802725080346,0.01042660977691412,-0.29167733694637243,0.9326865978737714,-0.6533034034694849,left,-0.002083420753479004,-0.29838257905029847,-2.868367862896621,-8.923659543001651,-0.1882235931580433,0.03980085253715515,0.001169443130493164,2.88290696811974,0.0000737309455871582
1778182371995029200,17.968029296875,-0.31098148416178917,-0.01776259019970894,-0.09806533194696565,0.0041477978229522705,-0.29186273026032683,0.9327001429484353,-0.6535045094019712,left,-0.0019325017929077148,-0.2974501097340501,-2.8689953471451997,-8.926277032023668,-0.187802306593601,0.03763887658715248,0.0017177760601043701,2.8741651509985324,0.0012123286724090576
1778182372015029200,17.988029296875,-0.31094269508651534,-0.018809828907251358,-0.09816680079462033,-0.0010043978691101074,-0.29199701004463524,0.9327194746998205,-0.6536241218091096,left,-0.004642188549041748,-0.2966701283640807,-2.869334369841218,-8.928519842514396,-0.18744448915947248,0.03138786554336548,0.0013764500617980957,2.8668513208538293,0.0010779798030853271
1778182372035029200,18.008029296875,-0.31095017030890615,-0.0160429235547781,-0.09825857660792787,-0.0016492018476128578,-0.29213231920766913,0.932722605525942,-0.6537885576782362,left,-0.003975212574005127,-0.2960517634521571,-2.8699428571283816,-8.930184560856222,-0.18716981250249753,0.021556353196501732,0.0022113919258117676,2.8610516946643587,-0.0003845393657684326
1778182372055029200,18.028029296875,-0.31103588269301624,-0.015655795112252235,-0.09835970096427252,-0.003354547079652548,-0.29226620342312865,0.9327094943914712,-0.6539942194282302,left,-0.001420736312866211,-0.29557243261124627,-2.871127682998776,-8.931243129998444,-0.18697243999681926,0.01721765659749508,0.0007472634315490723,2.856554967767,0.00039523839950561523
1778182372075029200,18.048029296875,-0.3113642348294856,-0.013792937621474266,-0.09856651839696426,-0.014286685734987259,-0.2923705552669464,0.9326830412043683,-0.6541949285475892,left,-0.0034980177879333496,-0.2951405593194989,-2.8744378304600713,-8.931473431622981,-0.18683208268053653,0.017285512760281563,0.0006544888019561768,2.8525033542886375,-0.00007113814353942871
1778182372095029000,18.068029052734374,-0.311511013217862,-0.009503494948148727,-0.09868096110647559,-0.0064316801726818085,-0.29243177846730717,0.932676555037765,-0.6542884984657493,left,-0.0067446231842041016,-0.2948143571231684,-2.8760335752189157,-8.931936372959614,-0.1867084133538863,0.010302476584911346,0.0001577138900756836,2.8494425054132937,-0.0005810558795928955
1778182372115029000,18.088029052734374,-0.31157222796668776,-0.005012648645788431,-0.0987342754469772,0.001051267609000206,-0.2924962917365166,0.9326668756206418,-0.6543963620672165,left,-0.004083514213562012,-0.29460675871532915,-2.8767615972325205,-8.932323326450586,-0.18662740230230035,0.005180980544537306,-0.0025047361850738525,2.847494293954968,0.0007248222827911377
1778182372135029000,18.108029052734373,-0.3114978411065017,0.006678049918264151,-0.098715379286256,-0.002972720190882683,-0.29247789742214175,0.9326827514714353,-0.6543302380075354,left,-0.0014835596084594727,-0.2945494093963751,-2.87614726472646,-8.932692744284868,-0.18658693278785773,0.0003603333607316017,-0.004131019115447998,2.8469562415555116,0.001355290412902832
1778182372155029000,18.128029052734377,-0.31161194770413947,0.01240699365735054,-0.09877624720933756,-0.006776154041290283,-0.2923946721555741,0.9326971785997867,-0.6541821677905167,left,-0.0012225508689880371,-0.2945861274607483,-2.8771345221981406,-8.932264874261618,-0.18661315587119123,-0.0022030870895832777,-0.003815561532974243,2.847300817209482,-0.0016040205955505371
1778182372175029200,18.148029296875,-0.3116865392905304,0.01411096565425396,-0.09882989654215305,-0.0085474643856287,-0.29223250867167355,0.9327373200036935,-0.6538627976800137,left,-0.0037453770637512207,-0.2946513443485818,-2.8777438862681386,-8.931873829117416,-0.18663821405799724,0.0001533394679427147,-0.00278279185295105,2.847912811627984,-0.003125101327896118
1778182372195029200,18.168029296875,-0.3116478714172199,0.008831202052533627,-0.09883861104712688,-0.0014414340257644653,-0.29208637588333203,0.9327848628660399,-0.6535452662630088,left,-0.005349516868591309,-0.29466853599637477,-2.877383528523147,-8.931938126525282,-0.18662476523019866,0.0024449964985251427,-0.0027487576007843018,2.8480741396695373,-0.004531770944595337
1778182372215029200,18.188029296875,-0.31156104943012897,0.0029053608886897564,-0.09881917984108599,0.004961649887263775,-0.29204039090834355,0.9328101322037348,-0.6534180148494297,left,-0.004601895809173584,-0.29461370412596793,-2.876655798770487,-8.932336770454048,-0.18658062960677432,0.002072401810437441,-0.002907991409301758,2.8475594681456684,-0.004771798849105835
1778182372235029200,18.208029296875,-0.31154470467126105,-0.005087108816951513,-0.0988183866596454,0.006443830672651529,-0.2920807834300547,0.9328045542150211,-0.6534852649551769,left,-0.0018507838249206543,-0.2945355189982771,-2.8765780573591586,-8.93259571365118,-0.18654567260243335,0.0015387849416583776,-0.0032160282135009766,2.8468258931741115,-0.001831144094467163
1778182372255029200,18.228029296875,-0.31154468975555333,-0.011331516318023205,-0.09882474420315293,0.002823349554091692,-0.2921891325277853,0.9327817866884889,-0.6536867288884526,left,-0.0017140507698059082,-0.29438546944793853,-2.8767089902624488,-8.933002540886402,-0.1864867263920275,-0.0007619725074619055,-0.0029877424240112305,2.8454177799418567,-0.003076612949371338
1778182372275029200,18.248029296875,-0.31166544916698,-0.016466312110424042,-0.09888920925739556,-0.0012060562148690224,-0.29234650757625386,0.9327395676308485,-0.6540022356370839,left,-0.0030300021171569824,-0.2941614787151521,-2.8779829557210204,-8.933261484083532,-0.1864171367007592,0.0016841648612171412,-0.003891557455062866,2.843315546965599,-0.0018388628959655762
1778182372295029200,18.268029296875,-0.3117743297567969,-0.01663227379322052,-0.09893348912211171,-0.0004000739427283406,-0.2925445758522006,0.9326827893405151,-0.6544100616511604,left,-0.0039643049240112305,-0.293973646357008,-2.879119266274571,-8.933456129872798,-0.18636700226352249,0.0008774165180511773,-0.00454673171043396,2.841552628946304,-0.0008476078510284424
1778182372315029200,18.288029296875,-0.3118973553354241,-0.01114965882152319,-0.0989864960297653,0.0010916732717305422,-0.292684723492562,0.9326392921373268,-0.6547066097048522,left,-0.004016220569610596,-0.293835006669021,-2.880339163458347,-8.933476588138937,-0.1863360563583556,0.00022720982087776065,-0.002874314785003662,2.840251190958917,0.002277374267578125
1778182372335029200,18.308029296875,-0.31192443371140705,-0.007628560997545719,-0.09900340477396517,0.0031196698546409607,-0.2928131880693186,0.9326088705619607,-0.6549540085787372,left,-0.004832923412322998,-0.29367224400046527,-2.8807229020789262,-8.933838407188654,-0.18627755459158746,0.001956740627065301,-0.0041303932666778564,2.838723543000221,0.0028133392333984375
1778182372355029000,18.328029052734376,-0.31180366181068647,-0.00584823964163661,-0.09894603542118802,0.00676027312874794,-0.2928860151440557,0.9325999323213511,-0.6550736921993254,left,-0.002940058708190918,-0.29361214305251127,-2.879696189379692,-8.93434869479835,-0.1862382110829313,0.0031812305096536875,-0.0022104978561401367,2.8381594793766736,0.0027852654457092285
1778182372375029000,18.348029052734375,-0.3117203376444059,-0.002269311575219035,-0.09893313240017439,0.005551609210669994,-0.2929191562378337,0.9326083378330674,-0.6550940222126431,left,-0.002589404582977295,-0.29344635603757535,-2.8790961776599286,-8.93503609254062,-0.18615091416337878,0.009048600681126118,-0.0022107958793640137,2.836603189845383,0.0017088651657104492
1778182372395029000,18.368029052734375,-0.31166259723310313,0.000620644073933363,-0.09894486055788194,0.0032917659264057875,-0.29292916106866157,0.932625336998411,-0.6550604375176821,left,-0.000975191593170166,-0.293234803485046,-2.878764169226587,-8.935773174643517,-0.18604369324785286,0.00906123872846365,-0.0033983588218688965,2.834616984464228,0.001308530569076538
1778182372415029200,18.388029296875,-0.31174697099209675,-0.00008827238343656063,-0.09903221462623989,-0.005713379010558128,-0.29290380321046516,0.9326442115077973,-0.6549739405451581,left,-0.0012978315353393555,-0.29299680424588903,-2.8797248309522865,-8.936172403094172,-0.18594252042011838,0.013274261727929115,-0.001146763563156128,2.832382649540901,-0.0019835829734802246
1778182372435029200,18.408029296875,-0.3118383875289556,-0.003240189515054226,-0.09911681827940726,-0.005905041005462408,-0.2928878068025616,0.9326579619437411,-0.6549133382365587,left,-0.0007919669151306152,-0.29278035938894065,-2.8807299163416027,-8.93649213656783,-0.18585355401378528,0.009829706512391567,-0.0010154545307159424,2.8303505591914058,-0.0030795931816101074
1778182372455029200,18.428029296875,-0.3120048446166072,-0.005071260035037994,-0.09921666252074644,0.0031178486533463,-0.2929235698969149,0.9326463369351742,-0.654987512612904,left,-0.0052297115325927734,-0.2926069610491799,-2.8823680389374493,-8.936479861608147,-0.18580202337500826,0.003818350378423929,-0.00029781460762023926,2.8287223734676834,-0.0034960508346557617
1778182372475029200,18.448029296875,-0.31184329289017626,-0.004142337944358587,-0.09912571811451724,0.004300361964851618,-0.29299743115030025,0.9326344167017473,-0.6551180210656642,left,-0.0022992491722106934,-0.292627726204225,-2.8809061496913433,-8.936889611452818,-0.18579434387040594,0.0022335974499583244,-0.0008729100227355957,2.8289173115178943,-0.0023307502269744873
